id,fragrance,flowering_season,bloom_time,plant_type,primary_color
218,,,,Herb,Maroon
219,,,,Herb,White
220,,,,Herb,Red
221,,,,Shrub,Green
222,,,,Shrub,Red
223,,,,Shrub,Red
224,,,,Shrub,Red
225,,,,Shrub,Red
226,,,,Herb,Magenta
227,,,,Herb,Magenta
228,,,,Herb,Orange
229,,,,Herb,Green
230,,,,Herb,Rose
231,,,,Herb,White
232,,,,Herb,Golden Yellow
233,,,,Herb,Rose
234,,,,Herb,Yellow
235,,,,Herb,Rose
236,,,,Herb,Rose
237,,,,Herb,Red
238,,,,Herb,White
239,,,,Herb,White
240,,,,Herb,Golden Yellow
241,,,,Shrub,Purple
242,,,,Herb,Orange
243,,,,Herb,Yellow
244,,,,Tree,White
245,,,,Tree,Orange
246,,,,Tree,Golden Yellow
247,,,,Tree,Yellow
248,,,,Herb,Orange
249,,,,Herb,Red
250,,,,Herb,White
251,,,,Herb,White
252,,,,Vine / Climber,Red
253,,,,Shrub,Orange
254,,,,Herb,Pink
255,,,,Herb,Pink
256,,,,Herb,Golden Yellow
257,,,,Herb,White
258,,,,Herb,Purple
259,,,,Herb,Magenta
260,,,,Herb,Red
261,,,,Herb,White
262,,,,Herb,Pink
263,,,,Herb,Magenta
264,,,,Shrub / Small Tree,White
265,,,,Shrub,White
266,,,,Shrub,White
267,,,,Shrub,Pink
268,,,,Shrub,White
269,,,,Shrub,White
270,,,,Shrub,Rose
271,,,,Shrub,White
272,,,,Small Tree,Pink
273,,,,Shrub,Red
274,,,,Shrub,White
275,,,,Herb,White
276,,,,Herb,Pink
277,,,,Herb,Pink
278,,,,Herb,Red
279,,,,Herb,Pink
280,,,,Herb,White
281,,,,Shrub,Yellow
282,,,,Vine / Climber,Red
283,,,,Herb,Pink
284,,,,Herb,Magenta
285,,,,Herb,Pink
286,,,,Herb,White
287,,,,Herb,Pink
288,,,,Herb,White
289,,,,Herb,White
290,,,,Herb,Yellow
291,,,,Herb,Magenta
292,,,,Herb,Lavender
293,,,,Herb,Lavender
294,,,,Herb,Pink
295,,,,Herb,Magenta
296,,,,Herb,Magenta
297,,,,Herb,Purple
298,,,,Herb,Lavender
299,,,,Herb,Magenta
300,,,,Herb,White
301,,,,Herb,Yellow
302,,,,Vine / Climber,White
303,,,,Vine / Climber,White
304,,,,Shrub,White
305,,,,Herb,White
306,,,,Herb,White
307,,,,Herb,White
308,,,,Shrub,White
309,,,,Shrub,White
310,,,,Shrub / Small Tree,White
311,,,,Shrub,White
312,,,,Shrub / Small Tree,White
313,,,,Herb,Rose
